Algorithm,Size,Threads,Time(ms),Speedup
Odd-Even Sort,100,1,1.3854,1
Odd-Even Sort,100,2,3.4372,0.403061
Odd-Even Sort,100,4,5.8562,0.23657
Odd-Even Sort,100,8,12.6576,0.109452
Quick Sort,100,1,0.015,1
Quick Sort,100,2,1.6236,0.00923873
Quick Sort,100,4,3.7112,0.00404182
Quick Sort,100,8,5.3412,0.00280836
Radix Sort,100,1,3.6186,1
Radix Sort,100,2,5.6824,0.636808
Radix Sort,100,4,13.4758,0.268526
Radix Sort,100,8,26.9536,0.134253
Odd-Even Sort,200,1,1.8362,1
Odd-Even Sort,200,2,5.6454,0.325256
Odd-Even Sort,200,4,10.5526,0.174005
Odd-Even Sort,200,8,18.1106,0.101388
Quick Sort,200,1,0.0324,1
Quick Sort,200,2,1.5822,0.0204778
Quick Sort,200,4,3.0324,0.0106846
Quick Sort,200,8,6.1754,0.00524662
Radix Sort,200,1,3.2098,1
Radix Sort,200,2,7.0452,0.455601
Radix Sort,200,4,13.6022,0.235977
Radix Sort,200,8,35.957,0.0892677
Odd-Even Sort,500,1,5.265,1
Odd-Even Sort,500,2,8.3202,0.632797
Odd-Even Sort,500,4,22.1814,0.237361
Odd-Even Sort,500,8,37.759,0.139437
Quick Sort,500,1,0.1064,1
Quick Sort,500,2,1.874,0.0567769
Quick Sort,500,4,3.8978,0.0272974
Quick Sort,500,8,5.8092,0.0183158
Radix Sort,500,1,3.542,1
Radix Sort,500,2,6.2152,0.569893
Radix Sort,500,4,12.198,0.290375
Radix Sort,500,8,26.4918,0.133702
Odd-Even Sort,1000,1,14.2834,1
Odd-Even Sort,1000,2,22.3174,0.640012
Odd-Even Sort,1000,4,35.5918,0.401312
Odd-Even Sort,1000,8,64.5722,0.2212
Quick Sort,1000,1,0.2238,1
Quick Sort,1000,2,2.605,0.0859117
Quick Sort,1000,4,4.2576,0.0525648
Quick Sort,1000,8,6.3216,0.0354024
Radix Sort,1000,1,3.641,1
Radix Sort,1000,2,5.6218,0.647657
Radix Sort,1000,4,11.2272,0.324302
Radix Sort,1000,8,29.0308,0.125419
Odd-Even Sort,1010,1,15.2294,1
Odd-Even Sort,1010,2,24.595,0.619207
Odd-Even Sort,1010,4,36.3526,0.418936
Odd-Even Sort,1010,8,64.6474,0.235576
Quick Sort,1010,1,0.2108,1
Quick Sort,1010,2,1.9808,0.106422
Quick Sort,1010,4,3.4476,0.061144
Quick Sort,1010,8,5.9928,0.0351755
Radix Sort,1010,1,3.4758,1
Radix Sort,1010,2,6.4086,0.542365
Radix Sort,1010,4,16.4358,0.211477
Radix Sort,1010,8,37.3026,0.0931785
